"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                        Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10169000000","10994000000","12375000000","11340000000","11299000000","14086000000","15844000000","18863000000","23714000000","28450000000","24589000000","28403000000","32972000000","32850000000","35421000000","38192000000","27137000000","22297000000","22072000000","26109000000","26814000000","21946000000","26732000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2597000000","3114000000","2985000000","2547000000","2860000000","3196000000","3931000000","4483000000","5527000000","6499000000","4459000000","5638000000","7273000000","7613000000","7353000000","6432000000","5487000000","4632000000","5084000000","5565000000","5400000000","4383000000","5501000000"
"                                Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6345000000","6617000000","8126000000","7138000000","8440000000","10890000000","11913000000","14380000000","18188000000","21951000000","20129000000","22764000000","25699000000","25238000000","28068000000","31760000000","21650000000","17665000000","16988000000","20544000000","21415000000","17562000000","21230000000"
"                        Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21424000000","19140000000","19291000000","19791000000","19913000000","24357000000","32151000000","37754000000","45485000000","55753000000","44833000000","48946000000","59031000000","70018000000","73786000000","74394000000","72298000000","68924000000","65242000000","64083000000","66074000000","46665000000","52809000000"
"                        Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185301000000","215802000000","193330000000","191356000000","203880000000","226576000000","244220000000","280513000000","311917000000","339261000000","291483000000","369676000000","420201000000","430161000000","439294000000","445541000000","418637000000","412493000000","455327000000","481942000000","462446000000","431699000000","533993000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11778000000","12523000000","10772000000","13127000000","13074000000","13828000000","15535000000","17627000000","19378000000","22302000000","19556000000","21720000000","27490000000","31170000000","26353000000","27009000000","25179000000","22225000000","24680000000","25625000000","26127000000","23420000000","26408000000"
"                                China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13174000000","16365000000","19396000000","22317000000","28646000000","34833000000","41874000000","54813000000","64313000000","71346000000","70636000000","93059000000","105445000000","111855000000","122852000000","124728000000","116505000000","115991000000","131746000000","122128000000","107948000000","125033000000","152161000000"
"                                Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12578000000","14544000000","14004000000","12607000000","13616000000","16084000000","16866000000","18505000000","20797000000","22802000000","21945000000","27531000000","37637000000","38661000000","43414000000","42052000000","37954000000","35545000000","40610000000","38213000000","31588000000","24194000000","30382000000"
"                                India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3695000000","3683000000","3802000000","4131000000","5040000000","6170000000","8014000000","9775000000","15048000000","17844000000","16480000000","19345000000","21689000000","22195000000","21913000000","21625000000","21515000000","21692000000","25673000000","33253000000","34291000000","27017000000","39948000000"
"                                Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57344000000","64385000000","56706000000","51222000000","51805000000","53458000000","54817000000","59276000000","62798000000","67130000000","52943000000","61472000000","67182000000","71382000000","66517000000","67981000000","63085000000","63811000000","68223000000","75870000000","75100000000","64118000000","75594000000"
"                                Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16264000000","18042000000","17562000000","16371000000","16569000000","19606000000","20755000000","24172000000","25929000000","28576000000","22650000000","29079000000","31384000000","30701000000","30720000000","29897000000","28280000000","26447000000","29304000000","32553000000","30901000000","26507000000","35420000000"
"                                South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23696000000","28083000000","22158000000","22935000000","24851000000","26835000000","28639000000","33515000000","35864000000","36740000000","29695000000","40082000000","45226000000","44174000000","43535000000","46439000000","44483000000","42914000000","49247000000","57375000000","57439000000","51424000000","66672000000"
"                                Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19026000000","25023000000","19010000000","19149000000","17847000000","22264000000","22794000000","23817000000","26840000000","26171000000","19397000000","26975000000","27067000000","25494000000","26538000000","27610000000","26437000000","26546000000","26294000000","31166000000","31753000000","30527000000","37376000000"
"                                Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1982000000","1585000000","1592000000","1797000000","32434000000","33497000000","34925000000","39013000000","40951000000","46349000000","38180000000","50413000000","57081000000","54530000000","57451000000","58200000000","55200000000","57321000000","59550000000","65759000000","67299000000","59458000000","70032000000"
"                        International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306000000","160000000","145000000","598000000","629000000","1598000000","1330000000","1499000000","1547000000","1465000000","797000000","411000000","511000000","552000000","461000000","299000000","261000000","300000000","210000000","338000000","491000000","984000000","986000000"
