date,APPL,AMZN,GOOG,META,MFST
2024-03-07,169.000000,176.820007,135.240005,512.190002,409.140015
2024-03-08,170.729996,175.350006,136.289993,505.950012,406.220001
2024-03-11,172.750000,171.960007,138.940002,483.589996,404.519989
2024-03-12,173.229996,175.389999,139.619995,499.750000,415.279999
2024-03-13,171.130005,176.559998,140.770004,495.570007,415.100006
2024-03-14,173.000000,178.750000,144.339996,491.829987,425.220001
2024-03-15,172.619995,174.419998,142.169998,484.100006,416.420013
2024-03-18,173.720001,174.479996,148.479996,496.980011,417.320007
2024-03-19,176.080002,175.899994,147.919998,496.239990,421.410004
2024-03-20,178.669998,178.149994,149.679993,505.519989,425.230011
2024-03-21,171.369995,178.149994,148.740005,507.760010,429.369995
2024-03-22,172.279999,178.869995,151.770004,509.579987,428.739990
2024-03-25,170.850006,179.710007,151.149994,503.019989,422.859985
2024-03-26,169.710007,178.300003,151.699997,495.890015,421.649994
2024-03-27,173.309998,179.830002,151.940002,493.859985,421.429993
2024-03-28,171.479996,180.380005,152.259995,485.579987,420.720001
2024-04-01,170.029999,180.970001,156.500000,491.350006,424.570007
2024-04-02,168.839996,180.690002,155.869995,497.369995,421.440002
2024-04-03,169.649994,182.410004,156.369995,506.739990,420.450012
2024-04-04,168.820007,180.000000,151.940002,510.920013,417.880005
2024-04-05,169.580002,185.070007,153.940002,527.340027,425.519989
2024-04-08,168.449997,185.190002,156.139999,519.250000,424.589996
2024-04-09,169.669998,185.669998,158.139999,516.900024,426.279999
2024-04-10,167.779999,185.949997,157.660004,519.830017,423.260010
2024-04-11,175.039993,189.050003,160.789993,523.159973,427.929993
2024-04-12,176.550003,186.130005,159.190002,511.899994,421.899994
2024-04-15,172.690002,183.619995,156.330002,500.230011,413.640015
2024-04-16,169.380005,183.320007,156.000000,499.760010,414.579987
2024-04-17,168.000000,181.279999,156.880005,494.170013,411.839996
2024-04-18,167.039993,179.220001,157.460007,501.799988,404.269989
2024-04-19,165.000000,174.630005,155.720001,481.070007,399.119995
